Totto-chan- the Little Girl at the Window,Tetsuko Kuroyanagi,6/56
Matilda,Roald Dahl,6/55
The Total Woman,Marabel Morgan,3/94
Knowledge-value Revolution,Taichi Sakaiya,6/27
Problems in China's Socialist Economy,Xue Muqiao,6/60
What Color Is Your Parachute?,Richard Nelson Bolles,5/130
The Dukan Diet,Pierre Dukan,1/115
The Joy of Sex,Alex Comfort,5/0
The Gospel According to Peanuts,Robert L. Short,7/53
Life of Pi,Yann Martel,2/37
The Giver,Lois Lowry,5/64
The Front Runner,Patricia Nell Warren,2/119
The Goal,Eliyahu M. Goldratt,0/64
Fahrenheit 451,Ray Bradbury,2/108
Angela's Ashes,Frank McCourt,1/78
The Story of My Experiments with Truth,Mohandas Karamchand Gandhi,2/77
Bridget Jones's Diary,Helen Fielding,5/75
Harry Potter,J. K. Rowling,1/45
Goosebumps,R. L. Stine,2/188
Perry Mason,Erle Stanley Gardner,7/5
Berenstain Bears,Stan and Jan Berenstain,5/93
Choose Your Own Adventure,Various authors,4/8
Diary of a Wimpy Kid,Jeff Kinney,2/41
Sweet Valley High,Francine Pascaland ghostwriters,5/40
Noddy,Enid Blyton,4/97
Nancy Drew,Various authors asCarolyn Keene,1/58
The Railway Series,Rev. W. Awdry-Christopher Awdry,4/21
San-Antonio,Frdric Dard,5/73
Robert Langdon,Dan Brown,4/19
The Baby-sitters Club,Ann Martin,5/2
Twilight,Stephenie Meyer,4/25
Star Wars,Various authors,2/113
Little Critter,Mercer Mayer,3/115
Peter Rabbit,Beatrix Potter,5/36
Fifty Shades,E. L. James,3/63
American Girl,Various authors,5/20
Geronimo Stilton,Elisabetta Damiand ghostwriters,10/100
Chicken Soup for the Soul,Jack Canfield-Mark Victor Hansen,1/79
Clifford the Big Red Dog,Norman Bridwell,5/108
Frank Merriwell,Gilbert Patten,2/77
Dirk Pitt,Clive Cussler,6/30
Musashi,Eiji Yoshikawa,5/81
The Chronicles of Narnia,C. S. Lewis,4/100
Mr. Men,Roger Hargreaves-Adam Hargreaves,6/97
The Hunger Games trilogy,Suzanne Collins,5/51
James Bond,Ian Fleming,3/71
Martine,Gilbert Delahaye-Marcel Marlier,1/108
Millennium,Stieg Larsson-David Lagercrantz,4/26
A Song of Ice and Fire,George R. R. Martin,2/121
Discworld,Terry Pratchett,6/39
Nijntje,Dick Bruna,6/7
Alex Cross,James Patterson,2/96
Anpanman,Takashi Yanase,3-51
Captain Underpants,Dav Pilkey,1/72
Fear Street,R. L. Stine,3/78
Pippi Longstocking,Astrid Lindgren,7/22
The Vampire Chronicles,Anne Rice,3/30
The Wheel of Time,Robert Jordan-Brandon Sanderson,7/82
OSS 117,Jean Bruce,3/20
Winnie-the-Pooh,A. A. Milne; illustrated byE. H. Shepard,3/59
Magic Tree House series,Mary Pope Osborne,4/96
Left Behind,Tim LaHaye-Jerry B. Jenkins,1/57
A Series of Unfortunate Events,Lemony SnicketakaDaniel Handler,2/31
Little House on the Prairie,Laura Ingalls Wilder,3/114
Jack Reacher,Lee Child,5/118
The Magic School Bus,Joanna Cole- illustrated byBruce Degen,2/89
Where's Wally?,Martin Handford,7/15
Men Are from Mars- Women Are from Venus,John Gray,3/20
The Hardy Boys,Various authors asFranklin W. Dixon,3/79
The Bobbsey Twins,Various authors asLaura Lee Hope,2/114
Tarzan,Edgar Rice Burroughs,3/93
